Country,CountryName,Longitude,Latitude
AFG,Afghanistan,67.709953,33.93911
ALA,Aland Islands,19.9156105,60.1785247
ALB,Albania,20.168331,41.153332
DZA,Algeria,1.659626,28.033886
ASM,American Samoa,-170.6961815,-14.3016396
AND,Andorra,1.521801,42.506285
AGO,Angola,17.873887,-11.202692
AIA,Anguilla,-63.068615,18.220554
ATA,Antarctica,135,-82.8627519
ATG,Antigua and Barbuda,-61.796428,17.060816
ARG,Argentina,-63.616672,-38.416097
ARM,Armenia,45.038189,40.069099
ABW,Aruba,-69.968338,12.52111
AUS,Australia,133.775136,-25.274398
AUT,Austria,14.550072,47.516231
AZE,Azerbaijan,47.576927,40.143105
BHS,Bahamas,-77.39628,25.03428
BHR,Bahrain,50.5577,26.0667
BGD,Bangladesh,90.356331,23.684994
BRB,Barbados,-59.543198,13.193887
BLR,Belarus,27.953389,53.709807
BEL,Belgium,4.469936,50.503887
BLZ,Belize,-88.49765,17.189877
BEN,Benin,2.315834,9.30769
BMU,Bermuda,-64.7505,32.3078
BTN,Bhutan,90.433601,27.514162
BOL,"Bolivia, Plurinational State of",-63.588653,-16.290154
BES,"Bonaire, Sint Eustatius and Saba",-68.2385339,12.1783611
BIH,Bosnia and Herzegovina,17.679076,43.915886
BWA,Botswana,24.684866,-22.328474
BVT,Bouvet Island,3.3464497,-54.4207915
BRA,Brazil,-51.92528,-14.235004
IOT,British Indian Ocean Territory,72.4242508,-7.3346232
BRN,Brunei Darussalam,114.727669,4.535277
BGR,Bulgaria,25.48583,42.733883
BFA,Burkina Faso,-1.561593,12.238333
BDI,Burundi,29.918886,-3.373056
KHM,Cambodia,104.990963,12.565679
CMR,Cameroon,12.354722,7.369722
CAN,Canada,-106.346771,56.130366
CPV,Cabo Verde,-23.6051868,15.120142
CYM,Cayman Islands,-81.2546,19.3133
CAF,Central African Republic,20.939444,6.611111
TCD,Chad,18.732207,15.454166
CHL,Chile,-71.542969,-35.675147
CHN,China,104.195397,35.86166
CXR,Christmas Island,105.690449,-10.447525
CCK,Cocos (Keeling) Islands,96.8417478,-12.1706919
COL,Colombia,-74.297333,4.570868
COM,Comoros,43.3333,-11.6455
COD,"Congo, the Democratic Republic of the",21.758664,-4.038333
COG,Congo,21.758664,-4.038333
COK,Cook Islands,-159.777671,-21.236736
CRI,Costa Rica,-83.753428,9.748917
CIV,Cote d'Ivoire,-5.54708,7.539989
HRV,Croatia,15.2,45.1
CUB,Cuba,-77.781167,21.521757
CUW,Curacao,-68.99002,12.16957
CYP,Cyprus,33.429859,35.126413
CZE,Czech Republic,15.472962,49.817492
CSK,Czechoslovakia,121.0390178,14.4803708
DNK,Denmark,9.501785,56.26392
DJI,Djibouti,42.590275,11.825138
DMA,Dominica,-61.370976,15.414999
DOM,Dominican Republic,-70.162651,18.735693
ECU,Ecuador,-78.183406,-1.831239
EGY,Egypt,30.802498,26.820553
SLV,El Salvador,-88.89653,13.794185
GNQ,Equatorial Guinea,10.267895,1.650801
ERI,Eritrea,39.782334,15.179384
EST,Estonia,25.013607,58.595272
ETH,Ethiopia,40.489673,9.145
FLK,Falkland Islands (Malvinas),-59.523613,-51.796253
FRO,Faroe Islands,-6.911806,61.892635
FJI,Fiji,178.065032,-17.713371
FIN,Finland,25.748151,61.92411
FRA,France,2.213749,46.227638
GUF,French Guiana,-53.125782,3.933889
PYF,French Polynesia,-149.406843,-17.679742
ATF,French Southern Territories,69.348557,-49.280366
GAB,Gabon,11.609444,-0.803689
GMB,Gambia,-15.310139,13.443182
GEO,Georgia,-82.9000751,32.1656221
DDR,German Democratic Republic,NA,NA
DEU,Germany,10.451526,51.165691
GHA,Ghana,-1.023194,7.946527
GIB,Gibraltar,-5.353585,36.140751
GRC,Greece,21.824312,39.074208
GRL,Greenland,-42.604303,71.706936
GRD,Grenada,-61.679,12.1165
GLP,Guadeloupe,-61.551,16.265
GUM,Guam,144.793731,13.444304
GTM,Guatemala,-90.5068824,14.6349149
GGY,Guernsey,-2.585278,49.465691
GIN,Guinea,-9.696645,9.945587
GNB,Guinea-Bissau,-15.180413,11.803749
GUY,Guyana,-58.93018,4.860416
HTI,Haiti,-72.285215,18.971187
HMD,Heard Island and McDonald Islands,73.504158,-53.08181
VAT,Holy See (Vatican City State),12.453389,41.902916
HND,Honduras,-86.241905,15.199999
HKG,Hong Kong,114.109497,22.396428
HUN,Hungary,19.503304,47.162494
ISL,Iceland,-19.020835,64.963051
IND,India,78.96288,20.593684
IDN,Indonesia,113.921327,-0.789275
IRN,"Iran, Islamic Republic of",53.688046,32.427908
IRQ,Iraq,43.679291,33.223191
IRL,Ireland,-7.6920536,53.1423672
IMN,Isle of Man,-4.548056,54.236107
ISR,Israel,34.851612,31.046051
ITA,Italy,12.56738,41.87194
JAM,Jamaica,-77.297508,18.109581
JPN,Japan,138.252924,36.204824
JEY,Jersey,-2.13125,49.214439
JOR,Jordan,36.238414,30.585164
KAZ,Kazakhstan,66.923684,48.019573
KEN,Kenya,37.906193,-0.023559
KIR,Kiribati,-157.3628595,1.8709422
PRK,"Korea, Democratic People's Republic of",127.510093,40.339852
KOR,"Korea, Republic of",127.766922,35.907757
KWT,Kuwait,47.481766,29.31166
KGZ,Kyrgyzstan,74.766098,41.20438
LAO,Lao People's Democratic Republic,102.495496,19.85627
LVA,Latvia,24.603189,56.879635
LBN,Lebanon,35.862285,33.854721
LSO,Lesotho,28.233608,-29.609988
LBR,Liberia,-9.429499,6.428055
LBY,Libya,17.228331,26.3351
LIE,Liechtenstein,9.555373,47.166
LTU,Lithuania,23.881275,55.169438
LUX,Luxembourg,6.129583,49.815273
MAC,Macao,113.543873,22.198745
MKD,"Macedonia, the former Yugoslav Republic of",21.745275,41.608635
MDG,Madagascar,46.869107,-18.766947
MWI,Malawi,34.301525,-13.254308
MYS,Malaysia,101.975766,4.210484
MDV,Maldives,73.536101,1.9772276
MLI,Mali,-3.996166,17.570692
MLT,Malta,14.375416,35.937496
MHL,Marshall Islands,166.8417424,11.3246908
MTQ,Martinique,-61.024174,14.641528
MRT,Mauritania,-10.940835,21.00789
MUS,Mauritius,57.552152,-20.348404
MYT,Mayotte,45.166244,-12.8275
MEX,Mexico,-102.552784,23.634501
FSM,"Micronesia, Federated States of",158.2150717,6.8874581
MDA,"Moldova, Republic of",28.369885,47.411631
MCO,Monaco,7.4246158,43.7384176
MNG,Mongolia,103.846656,46.862496
MNE,Montenegro,19.37439,42.708678
MSR,Montserrat,-62.187366,16.742498
MAR,Morocco,-7.09262,31.791702
MOZ,Mozambique,35.529562,-18.665695
MMR,Myanmar,95.955974,21.916221
NAM,Namibia,18.49041,-22.95764
NRU,Nauru,166.931503,-0.522778
NPL,Nepal,84.124008,28.394857
NLD,Netherlands,5.291266,52.132633
ANT,Netherlands Antilles,-68.2623822,12.2018902
NCL,New Caledonia,165.618042,-20.904305
NZL,New Zealand,174.885971,-40.900557
NIC,Nicaragua,-85.207229,12.865416
NER,Niger,8.081666,17.607789
NGA,Nigeria,8.675277,9.081999
NIU,Niue,-169.867233,-19.054445
NFK,Norfolk Island,167.954712,-29.040835
MNP,Northern Mariana Islands,145.6739,15.0979
NOR,Norway,8.468946,60.472024
OMN,Oman,55.975413,21.4735329
PAK,Pakistan,69.345116,30.375321
PLW,Palau,134.58252,7.51498
PSE,"Palestine, State of",35.233154,31.952162
PAN,Panama,-80.782127,8.537981
PNG,Papua New Guinea,143.95555,-6.314993
PRY,Paraguay,-58.443832,-23.442503
PER,Peru,-75.015152,-9.189967
PHL,Philippines,121.774017,12.879721
PCN,Pitcairn,-128.3242376,-24.3767537
POL,Poland,19.145136,51.919438
PRT,Portugal,-8.224454,39.399872
PRI,Puerto Rico,-66.590149,18.220833
QAT,Qatar,51.183884,25.354826
REU,Reunion,55.536384,-21.115141
ROU,Romania,24.96676,45.943161
RUS,Russian Federation,105.318756,61.52401
RWA,Rwanda,29.873888,-1.940278
BLM,Saint Barthelemy,-62.833333,17.9
SHN,"Saint Helena, Ascension and Tristan da Cunha",-5.7115281,-15.9654353
KNA,Saint Kitts and Nevis,-62.782998,17.357822
LCA,Saint Lucia,-60.978893,13.909444
MAF,Saint Martin (French part),-63.0500809,18.0708298
SPM,Saint Pierre and Miquelon,-56.3159,46.8852
VCT,Saint Vincent and the Grenadines,-61.1971628,13.2528179
WSM,Samoa,-172.104629,-13.759029
SMR,San Marino,12.457777,43.94236
STP,Sao Tome and Principe,6.613081,0.18636
SAU,Saudi Arabia,45.079162,23.885942
SEN,Senegal,-14.452362,14.497401
SRB,Serbia,21.005859,44.016521
SYC,Seychelles,55.491977,-4.679574
SLE,Sierra Leone,-11.779889,8.460555
SGP,Singapore,103.819836,1.352083
SXM,Sint Maarten (Dutch part),-63.05483,18.04248
SVK,Slovakia,19.699024,48.669026
SVN,Slovenia,14.995463,46.151241
SLB,Solomon Islands,160.156194,-9.64571
SOM,Somalia,46.199616,5.152149
ZAF,South Africa,22.937506,-30.559482
SGS,South Georgia and the South Sandwich Islands,-36.587909,-54.429579
SSD,South Sudan,31.3069788,6.8769919
ESP,Spain,-3.74922,40.463667
LKA,Sri Lanka,80.771797,7.873054
SDN,Sudan,30.217636,12.862807
SUR,Suriname,-56.027783,3.919305
SJM,Svalbard and Jan Mayen,23.670272,77.553604
SWZ,Swaziland,31.465866,-26.522503
SWE,Sweden,18.643501,60.128161
CHE,Switzerland,8.227512,46.818188
SYR,Syrian Arab Republic,38.996815,34.802075
TWN,"Taiwan, Province of China",120.7120023,22.6158015
TJK,Tajikistan,71.276093,38.861034
TZA,"Tanzania, United Republic of",34.888822,-6.369028
THA,Thailand,100.992541,15.870032
TLS,Timor-Leste,125.727539,-8.874217
TGO,Togo,0.824782,8.619543
TKL,Tokelau,-171.8484,-9.2002
TON,Tonga,-175.198242,-21.178986
TTO,Trinidad and Tobago,-61.222503,10.691803
TUN,Tunisia,9.537499,33.886917
TUR,Turkey,35.243322,38.963745
TKM,Turkmenistan,59.556278,38.969719
TCA,Turks and Caicos Islands,-71.797928,21.694025
TUV,Tuvalu,178.679924,-7.4784205
UGA,Uganda,32.290275,1.373333
UKR,Ukraine,31.16558,48.379433
ARE,United Arab Emirates,53.847818,23.424076
GBR,United Kingdom,-3.435973,55.378051
USA,United States,-95.712891,37.09024
UMI,United States Minor Outlying Islands,166.647047,19.2823192
URY,Uruguay,-55.765835,-32.522779
UZB,Uzbekistan,64.585262,41.377491
VUT,Vanuatu,166.959158,-15.376706
VEN,"Venezuela, Bolivarian Republic of",-66.58973,6.42375
VNM,Viet Nam,108.277199,14.058324
VGB,"Virgin Islands, British",-64.639968,18.420695
VIR,"Virgin Islands, U.S.",-64.896335,18.335765
WLF,Wallis and Futuna,-178.1165,-14.2938
ESH,Western Sahara,-12.885834,24.215527
YEM,Yemen,48.516388,15.552727
YMD,Yemen People's Republic,116.459025,39.938354
YUG,Yugoslavia,4.283494,52.09381
ZMB,Zambia,27.849332,-13.133897
EAZ,Zanzibar,39.202641,-6.165917
ZWE,Zimbabwe,29.154857,-19.015438
